# range_m,velocity_mps,rcs_m2,azimuth_deg
7.585,0.310,60.0000,-22.64
2.693,0.000,1.6000,-68.20
4.611,0.000,0.8000,-9.36
4.596,0.000,0.8000,-8.13
4.583,0.000,0.8000,-6.89
4.572,0.000,0.8000,-5.65
4.563,0.000,0.8000,-4.40
4.557,0.000,0.8000,-3.14
4.552,0.000,0.8000,-1.89
4.550,0.000,0.8000,-0.63
4.550,0.000,0.8000,0.63
4.552,0.000,0.8000,1.89
4.557,0.000,0.8000,3.14
4.563,0.000,0.8000,4.40
4.572,0.000,0.8000,5.65
4.583,0.000,0.8000,6.89
4.596,0.000,0.8000,8.13
4.611,0.000,0.8000,9.36
