
 NEW RECORD - 05-29-2023 21:31:25
21:31:25.431, 	0.00162175, 	36.2088, 	10.0697, 	0.447628
21:31:25.530, 	0.00161709, 	35.269, 	10.0697, 	0.447628
21:31:25.628, 	0.00164971, 	32.3209, 	10.0697, 	0.447628
21:31:25.730, 	0.00164368, 	35.2191, 	10.0697, 	0.447628
21:31:25.829, 	0.00163843, 	35.014, 	10.0697, 	0.447628
21:31:25.929, 	0.00157473, 	34.0367, 	10.0697, 	0.447628
21:31:26.031, 	0.00161015, 	36.9213, 	10.0697, 	0.447628
21:31:26.129, 	0.00153385, 	35.2735, 	10.0697, 	0.447628
21:31:26.229, 	0.00165806, 	35.4052, 	10.0697, 	0.447628
21:31:26.329, 	0.0015985, 	37.7793, 	10.0697, 	0.447628
21:31:26.429, 	0.00155177, 	36.4196, 	10.0697, 	0.447628
21:31:26.532, 	0.00163966, 	35.7391, 	10.0697, 	0.447628
21:31:26.630, 	0.00157114, 	35.3309, 	10.0697, 	0.447628
21:31:26.730, 	0.00158377, 	37.2428, 	10.0697, 	0.447628
21:31:26.830, 	0.00165185, 	35.1131, 	10.0697, 	0.447628
21:31:26.930, 	0.00156455, 	33.7089, 	10.0697, 	0.447628
21:31:27.033, 	0.00169217, 	35.1059, 	10.0697, 	0.447628
21:31:27.131, 	0.00162358, 	32.8017, 	10.0697, 	0.447628
21:31:27.231, 	0.0015487, 	34.336, 	10.0697, 	0.447628
21:31:27.331, 	0.00156386, 	34.1755, 	10.0697, 	0.447628
21:31:27.431, 	0.00158911, 	32.6893, 	10.0697, 	0.447628
21:31:27.532, 	0.00161979, 	34.6825, 	10.0697, 	0.447628
21:31:27.632, 	0.00165635, 	34.7244, 	10.0697, 	0.447628
21:31:27.732, 	0.0015273, 	33.9448, 	10.0697, 	0.447628
21:31:27.832, 	0.00158068, 	34.1415, 	10.0697, 	0.447628
21:31:27.932, 	0.00160167, 	37.0892, 	10.0697, 	0.447628
21:31:28.032, 	0.00157019, 	35.4691, 	10.0697, 	0.447628
21:31:28.132, 	0.00159904, 	33.1288, 	10.0697, 	0.447628
21:31:28.234, 	0.00158759, 	30.9697, 	10.0697, 	0.447628
